"","supplier","SICCode.SicText_1"
"370545","SUFFOLKAA COUNTYAA COUNCIL",NA
"370548","ESSEXAA PARTNERSHIPAA UNIVERSITYAA NHSAA FT",NA
"370551","NORTHCOURT",NA
"370553","CLARITYAA INFORMATICSAA LTD",NA
"370576","GUILDHALLAA &AA BARROWAA SURGERY",NA
"370577","HARDWICKEAA HOUSEAA GROUPAA PRACTICE",NA
"370580","REYNARDAA SURGERY",NA
"370583","VICTORIAAA SURGERY",NA
"370588","GUILDHALLAA SURGERY",NA
"370593","ROOKERYAA MEDICALAA CENTRE",NA
"370594","SIAMAA SURGERY",NA
"370596","STANTONAA SURGERY",NA
"370600","NHSAA IPSWICHAA ANDAA EASTAA SUFFOLKAA CCG",NA
"370631","RISBY PARK",NA
"370718","DR BLOW J D & PARTNERS",NA
"370742","GUILDHALL & BARROW SURGERY",NA
"370837","DIADEM MEDICAL PRACTICE",NA
"370857","MIDAA ESSEXAA HOSPITALSAA SERVICESAA NHSAA TRUST",NA
"370872","PHOENIXAA PARTNERSHIPAA (LEEDS)AA LTD",NA
"370881","QUEENAA ELIZABETHAA HOSPITALAA KINGSAA LYNNAA NHSAA FOUNDATIONAA TRUST",NA
"370889","CHRISTMASAA MALTINGSAA &AA CLEMENTSAA PRACTICE",NA
"370890","DRAA KILNERAA &AA PARTNERS",NA
"370891","FORESTAA GROUPAA PRACTICEAA BURYAA ROADAA BRANDON",NA
"370894","MOUNTAA FARMAA SURGERY",NA
"370895","ORCHARDAA HOUSEAA SURGERYAA NEWMARKET",NA
"370940","SOUTHERN HEALTH & SOCIAL CARE TRUST",NA
"371003","CAMBRIDGESHIRE & PETERBOROUGH NHS  FOUNDATION TRUST",NA
"371015","AVENUES MEDICAL CENTRE",NA
"371053","WILBERFORCE SURGERY",NA
"371076","BLUNDELLSANDS SURGERY (THE)",NA
"371156","RUGBY ROAD PRACTICE",NA
"371368","STONEPILLOW",NA
"371384","SPRINGS MEDICAL CENTRE CONSORTIUM",NA
"371406","COMPLETE CARE",NA
"371470","GLOVERS LANE SURGERY",NA
"371560","ROJENE LIVE IN CARE LTD",NA
"371570","NUGENT CARE SOCIETY",NA
"371578","EAST PARK PRACTICE",NA
"371718","DRS YU OGUNBA & AHMED",NA
"371838","BARCHESTER HEALTHCARE SUTTON GRANGE",NA
"371928","CONCORDE HEALTH LTD",NA
"371944","IVY COURT SURGERY",NA
"371946","WELLCARE NETWORK",NA
"371963","GLADSTONE HOUSE SURGERY ILKESTON",NA
"372005","ST STEPHENS HEALTH CENTRE ASHFORD",NA
"372010","CARE4YOU NETWORK",NA
"372019","CHARING SURGERY",NA
"372066","DR DEL BIANCO G & PARTNER",NA
"372089","SHIRES HEALTH CARE",NA
"372243","HAMSTREET SURGERY",NA
"372312","CHERYL CARRINGTON",NA
"372326","MACLEOD CURRY & WARD",NA
"372514","CROWDER MCKENZIE CROWLEY WILTON & PARTNERS",NA
"372515","DARLEY DALE MEDICAL CENTRE",NA
"372550","DR IR SHAND & PARTNERS",NA
"372568","EMMETT CARR SURGERY",NA
"372693","TDL ANALYTICAL LTD",NA
"372714","VOICE ABILITY",NA
"372728","HIGH PASTURES SURGERY",NA
"372796","BRIDGE ROAD MEDICAL CENTRE",NA
"372878","IDDON & PARTNERS",NA
"372941","BETTER CARE FOR YOU LTD",NA
"372980","STEWART MEDICAL CENTRE",NA
"373238","REDFERNE DHADDA & PARTNERS",NA
"373313","WOOD CROWLEY LENEHAN KOBAN MCKAY & PARTNERS",NA
"373378","MEDICAL CENTRE BRUNEL UNIVERSITY",NA
"373379","MEDICAL CENTRE DR S SHAPIRO & PARTNER",NA
"373380","UXBRIDGE HEALTH CENTRE",NA
"373470","IVY GROVE SURGERY",NA
"373471","JAMISON & PARTNERS",NA
"373473","JESSOP MEDICAL PRACTICE",NA
"373476","VISION MENTAL HEALTHCARE LTD",NA
"373551","SETT VALLEY MEDICAL CENTRE",NA
"373593","CONSORTIUM OF SUTTON SURGERIES (THE)",NA
"373750","ELMWOOD MEDICAL CENTRE",NA
"373778","HARTINGTON SURGERY",NA
"373844","OREILLY",NA
"373916","CEFN CARNAU PRIORY",NA
"374086","SUNRISE REHABILITATION CENTRE",NA
"374093","DRS CHAWLA V & CHAWLA SK",NA
"374138","GOLDEN BROOK PRACTICE",NA
"374139","HAMILTON & PARTNERS ILKESTON",NA
"374179","LIME GROVE MEDICAL CENTRE",NA
"374183","LINDOP WILLIAMS MERRICK & PARTNERS",NA
"374201","MOSS HALE BROOKS & PARTNERS",NA
"374208","DR KELLY J C & PARTNERS",NA
"374255","SELLINDGE SURGERY",NA
"374446","PRESTON CITY COUNCIL",NA
"374688","VICKERS SMITH LEVER & MARSDEN",NA
"374690","VILLAGE MEDICAL CENTRE MIDDLESBROUGH",NA
"374784","K K KANTHAN",NA
"374854","GEMBALI TRAFFORD GIRN CALAMUR",NA
"374923","CHEAM GP CENTRE",NA
"375203","MICHAEL BRIDGES",NA
"375632","CROYDON DAY HOSPITAL",NA
"375716","LEWIS & PARTNERS",NA
"375752","TRACSCARE WELLCARE LIFESTYLES LTD",NA
"375765","SOUTHWARK COUNCIL",NA
"375887","HOUNSLOW AND RICHMOND COMMUNITY  HEALTHCARE NHS TRUST",NA
"376521","TONY RYAN ASSOCIATES",NA
"376766","HALLAN",NA
"376786","SHEPTON MALLET TREATMENT CENTRE LTD",NA
"376828","NHS BLOOD & TRANSPLANT",NA
"376842","ASH HALL NURSING  HOME",NA
"376843","ELDER HOMES GROUP",NA
"376851","SHAWBROOK ASSET FINANCE",NA
"376892","MANSOOR AKHTAR",NA
"376898","CITY OF STOKE ON TRENT",NA
"376899","ARVATO BERTELSMANN",NA
"377013","PRESTON NORTH AND EAST HEALTH COLLABORATIVE",NA
"377137","ABC MANAGED SOLUTIONS",NA
"377251","MURDISHAW HEALTH CENTRE",NA
"377261","DR P BICKLEY & PARTNERS",NA
"377596","MOSS GREEN SURGERY",NA
"377761","LOOMER ROAD SURGERY",NA
"377817","ASH HALL NURSING HOME",NA
"377870","WILLOW BANK MEIR",NA
"377956","DR ARAIN",NA
"377959","HAYMARKET HEALTH CENTRE",NA
"377973","DR A KHAN COVENTRY",NA
"377984","DR MK SAKSENA",NA
"378058","DR U A PATHAK",NA
"378063","BRINSLEY AVENUE MEDICAL PRACTICE",NA
"378269","JAC COMPUTER SERVICES LTD",NA
"378273","CENTRAL SURGERY RUGBY",NA
"378301","DR P AGGARWAL",NA
"378302","DR P PATEL",NA
"378313","DRS BEAUMONT & PAI",NA
"378318","CHURCH TERRACE NURSING HOME",NA
"378349","UNIVERSITY HOSPITALS OF NORTH MIDLANDS  NHS TRUST",NA
"378360","NORTH STAFFORDSHIRE COMBINED  HEALTHCARE NHS TRUST",NA
"378471","DR A GWYNN & PARTNERS",NA
"378510","CITY OF STOKE ON  TRENT",NA
"378512","NHS STAFFORDSHIRE  AND LANCASHIRE CSU",NA
"378513","AND LANCASHIRE CSU",NA
"378520","STOKE PAS",NA
"378589","DR A D PULLAN & PTRS",NA
"378592","DR G V REDDY & PARTNER",NA
"378595","DR KANNEGANTI & PTR",NA
"378596","DR MEF MCCARTHY & PARTNERS",NA
"378618","KNOWLEDGE BRIEF LTD",NA
"378631","BROOK MEDICAL CENTRE (STOKE)",NA
"378637","DR NICHOLAS COOK",NA
"378643","FOREST GATE SURGERY",NA
"378648","STOKEWOOD SURGERY",NA
"378665","DURBAN HOUSE NURSING HOME",NA
"378668","GORSELANDS NURSING HOME",NA
"378672","MALLING HEALTH AT FOLESHILL",NA
"378679","MANOR PLACE NURSING HOME",NA
"378680","MAPLE HOUSE NURSING HOME",NA
"378688","JANSSEN CILAG LTD",NA
"378691","WENHAM HOLT NURSING & RESIDENTIAL CARE HOME",NA
"378736","CLIFTON ROAD SURGERY",NA
"378739","ABBEY MEAD SURGERY",NA
"378743","BLACKFIELD HEALTH CENTRE",NA
"378747","CHAWTON HOUSE SURGERY",NA
"378748","CORNERWAYS MEDICAL CENTRE",NA
"378750","DR S A P WARD & PTRS",NA
"378752","FORDINGBRIDGE SURGERY",NA
"378755","LYNDHURST SURGERY LYNDHURST",NA
"378756","NORTH BADDESLEY SURGERY",NA
"378760","PARKSIDE FAMILY PRACTICE",NA
"378761","PINE VIEW PRACTICE",NA
"378762","RINGWOOD MEDICAL CENTRE",NA
"378763","SHEPHERDS SPRING MEDICAL CENTRE",NA
"378764","ST ANDREWS SURGERY EASTLEIGH",NA
"378765","ST CLEMENTS PARTNERSHIP",NA
"378766","ST LUKES SURGERY SOUTHAMPTON",NA
"378768","ST PAULS SURGERY WINCHESTER",NA
"378773","WATERFRONT & SOLENT SURGERY",NA
"378779","BURSLEDON SURGERY",NA
"378799","DR K THOMSON & PARTNERS",NA
"378850","TAX & NI",NA
"378852","FIVE TOWN GP SURGERY",NA
"378884","DR P H SHAH & PTRS",NA
"378914","DR PHILLIPS & PARTNERS STOKE ON TRENT",NA
"378918","GLEBEDALE MEDICAL PRACTICE",NA
"378940","BROAD LANE SURGERY",NA
"378971","DR MEH WALLACE & PARTNER",NA
"378975","DR K EL-KASHOTY",NA
"378984","APPLETON VILLAGE SURGERY",NA
"378995","BEECHES MEDICAL CENTRE",NA
"379016","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE  NHS TRUST",NA
"379146","DR DURR & PARTNERS",NA
"379203","DR YADAVA & PARTNER",NA
"379204","DR V K MAHEEPATHI & PTNR",NA
"379209","DR T KAZMI & DR TEWARY",NA
"379212","WHITEHALL ROAD SURGERY",NA
"379279","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER  NHS FOUNDATION TRUST",NA
"379292","INLAND REVENUE CIS",NA
"379311","DR NYE M Y L",NA
"379330","ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE)",NA
"379364","FIT FOR WORK TEAM",NA
"379395","SHEFFIELD HALLAM UNIVERSITY",NA
"379408","DR PS KENYON & PARTNERS",NA
"379453","AKHTAR",NA
"379538","DR D MISTRY & PARTNERS GP CLUSTER ACCOUNT",NA
"379573","CLIFTON ROAD SURGERY GP CLUSTER ACCOUNT",NA
"379668","ALICE MEDICAL CENTRE",NA
"379672","LEONARDS CROFT PRIORY",NA
"379685","DR AR RAO",NA
"379686","DR C HODEGERE & DENISE NATH",NA
"379701","GREENWOOD & SNEINTON FAMILY MEDICAL CENTRE",NA
"379712","DR P D MILES & PARTNER",NA
"379717","MAYFIELDS MEDPRACTICE",NA
"379728","MEIR PARK & WESTON COYNEY MEDICAL PRACTICE",NA
"379751","RHR MEDICAL CENTRE",NA
"379752","RISE PARK SURGERY",NA
"379753","RIVERLYN MEDICAL CENTRE",NA
"379758","SOUTHGLADE MEDICAL PRACTICE (NCGPA)",NA
"379792","DR D SHANKAR",NA
"379808","GREENFIELDS MEDICAL PRACTICE",NA
"379823","DR MCALPINE & PARTNERS",NA
"379985","MIDDLEPORT MEDICAL CENTRE",NA
"380004","DR D LARTER",NA
"380048","MELANIE FLETCHER",NA
"380208","OSCAR NOTTINGHAM",NA
"380267","PHB  CONTINUING CARE",NA
"380378","STONEY STANTON MEDICAL CENTRE",NA
"380413","BRAMBLYS GRANGE MEDICAL PRACTICE",NA
"380414","BOUNDARIES SURGERY",NA
"380415","CHAWTON PARK SURGERY",NA
"380416","CLIFT SURGERY",NA
"380417","GILLIES MEDICAL PARTNERSHIP",NA
"380421","BENTLEY VILLAGE SURGERY",NA
"380427","NORTH STAFFORDSHIRE COMBINED HEALTHCARE  NHS TRUST",NA
"380443","CHANGES ADULT SERVICES",NA
"380449","WEST MIDLANDS AMBULANCE SERVICE NHS  TRUST",NA
"380457","TADLEY MEDICAL PARTNERSHIP",NA
"380539","DR A D CRESSWELL & PTRS",NA
"380547","DR K SAMAL & PTR",NA
"380611","BRACONDALE MEDICAL CENTRE",NA
"380619","SILVERDALE MENTAL NURSING HOME",NA
"380623","HEALD GREEN HEALTH CENTRE DR WRIGHT",NA
"380627","MANOR MEDICAL PRACTICE",NA
"380632","VILLAGE SURGERY STOCKPORT",NA
"380663","DR K RAI & PARTNER",NA
"380746","ALBION MOUNT MEDICAL PRACTICE",NA
"380840","DR B A SCRIVINGS & PARTNERS",NA
"380847","DR YV PATEL",NA
"380852","DR CHANDRA & PARTNERS DEWSBURY",NA
"380926","CREATIVE CARE (EASTMIDLANDS) LTD",NA
"380962","DR D E FOWERS & PARTNERS",NA
"380989","CHEADLE HULME HEALTH CENTRE - DR SHIPSTON",NA
"380996","HEATON MOOR MEDICAL GROUP",NA
"381088","PARK VIEW GROUP PRACTICE",NA
"381111","DR K IRFAN",NA
"381288","FIRST SERVICE CO LTD",NA
"381299","FAMILY SURGERY STOCKPORT",NA
"381300","HEATON NORRIS HEALTH CENTRE DR MARSHALL",NA
"381368","BRAMHALL HEALTH CENTRE",NA
"381383","HIGH LANE MEDICAL CENTRE",NA
"381430","NORTON GRANGE CARE HOME",NA
"381434","DR AI RAJPURA AND PARTNERS",NA
"381446","DRS ASMAL & SHAIKH",NA
"381447","LIVERSEDGE MEDICAL CENTRE",NA
"381466","PRIDERM",NA
"381479","DR S J LAWSON & PARTNERS",NA
"381537","HOPWOOD HOUSE MEDICAL PRACTICE",NA
"381685","NOTTINGHAM TRENT UNIVERSITY",NA
"381696","HOLLY BANK SCHOOL",NA
"381697","ASPIRE IN THE COMMUNITY",NA
"381756","CONTINUING HEALTH CARE",NA
"381894","GRAHAM GILBERT",NA
"381898","HEATON MOOR MEDICAL CENTRE",NA
"381904","MARPLE COTTAGE SURGERY",NA
"381905","SOUTH REDDISH MEDICAL CENTRE",NA
"381994","DR S L NICHOLLS & PARTNERS",NA
"382195","HESWALL & PENSBY GROUP PRACTICE",NA
"382455","JAMES ERIC PAGE 04Q",NA
"382502","DR DHIR & PARTNERS",NA
"382503","DR DJ YOUD & PARTNERS",NA
"382561","ADSHALL ROAD MEDICAL PRACTICE",NA
"382576","GATLEY MEDICAL CENTRE",NA
"382588","DR OWEN & PARTNERS",NA
"382595","CHEADLE MEDICAL PRACTICE",NA
"382659","COVENTRY WARKS SIGN LANGUAGE",NA
"382660","PRINCESS ROYAL TRUST COVENTRY CARERS CENTRE",NA
"382703","MARPLE BRIDGE SURGERY",NA
"382739","VILLAGE MEDICAL PRACTICE",NA
"382740","CALDERDALE METROPOLITAN BOROUGH COUNCIL",NA
"382799","KING'S MEDICAL CENTRE",NA
"382822","BREDBURY MEDICAL PRACTICE",NA
"382833","HEATON MERSEY MEDICAL PRACTICE",NA
"382937","BL MEDICAL PRACTICE",NA
"383002","ADSWOOD ROAD SURGERY",NA
"383080","FIRST STEPS",NA
"383213","NATIONAL OFFENDER MANAGEMENT SERVICE",NA
"383255","CHEADLE HULME HEALTH CENTRE - DR SEABROOK",NA
"383273","PARKVIEW SURGERY CLECKHEATON",NA
"383330","DR JONES G L & PARTNERS",NA
"383490","THOMAS DONOHOE",NA
"383829","BOLTON SOUTH EAST GP WORKING GROUP",NA
"383957","BARRY MCALLISTER",NA
"384122","HEALTHIER BOLTON TOGETHER LTD",NA
"384124","DENISE BURY",NA
"384147","CHANNEL VIEW SURGERY TEIGNMOUTH",NA
"384173","OAKSIDE SURGERY HONICKNOWLE GREEN TAMAR LCG",NA
"384182","STOKE SURGERY PLYMOUTH WATERFRONT LCG",NA
"384211","BLACKDOWN PRACTICE THE",NA
"384212","COMBE COASTAL PRACTICE",NA
"384214","STTHOMAS MEDICAL GROUP EXETER",NA
"384223","DR A PRASAD & PARTNER",NA
"384225","DR C HALLIKERI",NA
"384226","DR C HENDY & PARTNER",NA
"384227","DR D A WALL & PARTNERS",NA
"384231","DR J LOWE & PARTNERS",NA
"384238","DR M S FLETCHER & PARTNERS",NA
"384243","DR R A M FALOUJI & PARTNER",NA
"384256","DRS LIVERSEDGE MCCURDIE & WONG",NA
"384302","BEAUMONT VILLA SURGERY",NA
"384311","LEATSIDE SURGERY TOTNES",NA
"384341","CHELSTON HALL SURGERY",NA
"384351","AXMINSTER MEDICAL PRACTICE",NA
"384362","GOLDEN JUBILEE NATIONAL HOSPITAL",NA
"384363","KINGSKERSWELL&IPPLEPEN MEDICAL PRACTICE",NA
"384370","ABBEY SURGERY TAVISTOCK",NA
"384384","MID DEVON MEDICAL PRACTICE",NA
"384439","CLAREMONT MEDICAL PRACTICE",NA
"384483","DR MUCHALL & PARTNERS",NA
"384485","DR SIMPSON & PARTNERS BOLDON COLLIERY",NA
"384515","TRUST SOUTH TYNESIDE NHS FOUNDATION TRUST",NA
"384594","HANSELLS SOLICITORS",NA
"384692","DR M MILLER & PARTNERS",NA
"384704","LAKESIDE SURGERY CORBY",NA
"384804","ALASTAIR ROSS MEDICAL PRACTICE",NA
"384838","DR COUNSELL & PARTNERS",NA
"384859","ANCHOR CENTRE",NA
"384978","REDBANK GROUP PRACTICE",NA
"384993","WEST POINT MEDICAL CENTRE",NA
"385029","DR KUMARS PRACTICE",NA
"385088","EASTHAMPSTEAD SURGERY",NA
"385089","FOREST END MEDICAL CENTRE",NA
"385092","HEATH HILL SURGERY",NA
"385232","GREEN MEADOWS SURGERY",NA
"385307","SLOUGH BOROUGH COUNCIL",NA
"385327","NHS BRACKNELL AND ASCOT CCG",NA
"385461","BINFIELD SURGERY",NA
"385478","KINGS CORNER SURGERY",NA
"385514","CONNECT2FLEXICARE LTD",NA
"385596","RADNOR HOUSE SURGERY & ASCOT MEDICAL CENTRE",NA
"385866","LINGFIELD SURGERY",NA
"386007","PMCF CENTRAL CLUSTER",NA
"386025","LAKESIDE PLUS CO LTD",NA
"386209","MID STAFFS PGMC EDUCATION",NA
"386233","CHILDREN & FAMILY HEALTH SURREY",NA
"386398","DR HUSAIN S Z & PTN",NA
"386402","DR KER D A J & PARTNERS MARKET OVERTON & SOMERBY SURGERY",NA
"386433","HUSBANDS BOSWORTH SURGERY",NA
"386476","GREYSTONE HOUSE SURGERY",NA
"386573","TOWNHILL MEDICAL PRACTICE",NA
"386670","DR STEPHEN MURDOCH",NA
"386772","RUNNYMEDE MEDICAL PRACTICE",NA
"386784","BEECHWOOD MEDICAL PRACTICE",NA
"386787","BRADGATE SURGERY",NA
"386822","CLOSE FARM SURGERY",NA
"386884","DR HAMNETT E & PARTNERS",NA
"386924","DR POTTER C M & PARTNERS",NA
"386964","DR ZAFAR A & PARTNERS",NA
"386978","HOBMOOR ROAD SURGERY",NA
"386988","SOUTHMEAD & HENBURY FAMILY PRACTICE",NA
"387023","WELLS ROAD SURGERY",NA
"387039","ARMADA FAMILY PRACTICE",NA
"387090","COMPASS HEALTH",NA
"387132","HEYWOOD FAMILY PRACTICE",NA
"387169","DR CL FAARUP & PARTNER",NA
"387187","MILL VIEW SURGERY ROCESTER",NA
"387193","DATCHET HEALTH CENTRE",NA
"387251","STREAMSIDE SURGERY",NA
"387325","BRISTOL CITY COUNCIL",NA
"387416","MENDIP VALE MEDICAL PRACTICE",NA
"387503","CLAREMONT AND HOLYPORT PRACTICE",NA
"387516","GREAT HOLLANDS PRACTICE",NA
"387622","DR R RAMACHANDRAM",NA
"387629","DR SAHOTA B S & DR CASSAM K",NA
"387657","DRUIDS HEATH SURGERY",NA
"387687","HORFIELD HEALTH CENTRE PROPERTY PARTNERSHIP",NA
"387742","RIDGACRE HOUSE SURGERY",NA
"387791","WIDER OPTIONS (3) LTD",NA
"387840","WESTBURY-ON-TRYM SURGERY",NA
"387861","BEDMINSTER FAMILY PRACTICE",NA
"387927","GREENWAY COMMUNTIY PRACTICE",NA
"387944","UNIVERSAL CARE",NA
"387987","EVERGREEN PRACTICE",NA
"388004","WATERFIELD PRACTICE",NA
"388010","SECOND STEP HOUSING ASSOCIATION LTD",NA
"388090","AVON LMC",NA
"388097","BOUNDARY HOUSE SURGERY BRACKNELL",NA
"388135","CLEVEDON RIVERSIDE GROUP",NA
"388204","LAWRENCE HILL HEALTH CENTRE",NA
"388205","LEAP VALLEY SURGERY",NA
"388206","LENNARD SURGERY (THE)",NA
"388244","NIGHTINGALE VALLEY PRACTICE",NA
"388307","ST MARY STREET SURGERY",NA
"388425","PHB BC145766",NA
"388441","DR ROSSDALE REASEACH ACCOUNT",NA
"388458","CEDARS SURGERY MAIDENHEAD",NA
"388459","GRANGE ROAD SURGERY",NA
"388609","BOLT PARTNERS LTD",NA
"388693","CONCORD MEDICAL CENTRE",NA
"388694","CONISTON MEDICAL PRACTICE BRISTOL",NA
"388705","HIGHBURY NURSING HOME",NA
"388726","GRAHAM ROAD SURGERY",NA
"388728","GREEN VALLEYS HEALTH",NA
"388736","HARTWOOD HEALTHCARE",NA
"388765","MONKS PARK SURGERY",NA
"388816","SEYMOUR MEDICAL PRACTICE",NA
"388828","SPECIALIST HEALTH SERVICES",NA
"388871","ANITA STONE COURT",NA
"388924","SG RADIOLOGY & ASSOCIATES LTD",NA
"388975","CADBURY HEATH HEALTHCARE",NA
"389413","COURTSIDE SURGERY",NA
"389446","HELIOS MEDICAL CENTRE",NA
"389454","DR V SHARMA",NA
"389609","NHS ENGLAND RE PCT SHA CLOSURE",NA
"389777","NORTHVILLE FAMILY PRACTICE",NA
"389934","CEDARS SURGERY WESTON MARE",NA
"390025","MERRYWOOD PRACTICE",NA
"390125","LANGLEY HEALTH CENTRE",NA
"390224","NHS WOKINGHAM CCG",NA
"390226","WHITELADIES MEDICAL GROUP",NA
"390253","BRADLEY STOKE SURGERY",NA
"390254","BRIDGE VIEW MEDICAL",NA
"390287","DR AHMAD Y & PARTNERS",NA
"390416","RIVERBANK MEDICAL CENTRE WESTON MARE",NA
"390564","DR WJ FOUBISTER & PARTNERS",NA
"390568","AUTUMN LEAF PRIORY",NA
"390570","FALLODON WAY MEDICAL CENTRE",NA
"390588","HERSCHEL MEDICAL CENTRE",NA
"390590","LEE HOUSE SURGERY",NA
"390616","MAYTREES PRACTICE",NA
"390625","DR MLH KUMAR & PARTNER T/A SOUTH CLUSTER BHARANI MEDICAL CENTRE",NA
"390629","MONTPELIER HEALTH CENTRE",NA
"390777","BISHOPSTON MEDICAL PRACTICE",NA
"390820","CREST FAMILY PRACTICE",NA
"390919","OASIS-TALK",NA
"390962","BIRDSGROVE NURSING HOME",NA
"391204","OLD SCHOOL SURGERY",NA
"391477","PILNING SURGERY",NA
"391481","PRIORY SURGERY BRISTOL",NA
"391557","SALTLEY & FERNBANK MEDICAL PRACTICE",NA
"391560","SIXWAYS BIRMINGHAM LTD",NA
"391564","CHANDOS LODGE NURSING HOME",NA
"391626","WESLEYAN ASSURANCE SOCIETY",NA
"391776","READING BOROUGH COUNCIL",NA
"391777","QAI251-JF-PHB-03R",NA
"391852","LINDEN MEDICAL CENTRE MAIDENHEAD",NA
"391875","PEEL GPS",NA
"391876","EMERSONS GREEN MEDICAL CENTRE",NA
"391925","KINGSWOOD HEALTH CENTRE",NA
"391960","AYRSHIRE AND ARRAN HEALTH BOARD",NA
"392013","DRS SAXENA & PARTNERS",NA
"392086","BLACKFORD HOUSE MEDICAL CENTRE",NA
"392158","HODGE HILL FAMILY PRACTICE",NA
"392184","RLC SURGERY",NA
"392306","STUDENT HEALTH SERVICE",NA
"392455","HILLVIEW FAMILY PRACTICE",NA
"392481","MILTON SURGERY",NA
"392487","GREENFIELD MEDICAL PRACTICE",NA
"392512","DR C SHEKAR & PARTNERS",NA
"392516","DR SUBBIAH & PARTNERS",NA
"392519","ELMS MEDICAL CENTRE WHITEFIELD",NA
"392540","NATIONAL AUTISTIC SOCIETY",NA
"392559","SHIREHAMPTON GROUP PRACTICE",NA
"392618","TOTTINGTON HEALTH CENTRE",NA
"392727","DR GABRIEL Y F",NA
"392758","DR MJ SHAH & VM SHAH",NA
"392771","DR NIXON J R",NA
"392822","FAIRFAX GROUP PRACTICE",NA
"392823","KNOWSLEY MEDICAL CENTRE",NA
"392830","SOMERSET SURGICAL SERVICES",NA
"392922","UNSWORTH MEDICAL CENTRE",NA
"392949","BIRCHES MEDICAL CENTRE",NA
"393064","NHS HAMMERSMITH AND FULHAM CCG",NA
"393257","DR TAPSFIELD & PARTNERS",NA
"393335","LONDONAA BOROUGHAA OFAA CAMDEN",NA
"393339","HALING PARK PARTNERSHIP",NA
"393371","AMPTHILLAA PRACTICE",NA
"393379","STAA PHILIPSAA MEDICALAA CENTRE",NA
"393436","EVERYTHINGAA EVERYWHEREAA LTD",NA
"393474","ST GABRIELS MEDICAL CENTRE",NA
"393480","HOLBORN MEDICAL CENTRE",NA
"393483","CALDERDALE COUNCIL",NA
"393532","DRS CHEONG & AL-DUBBAISI",NA
"393544","BELSIZE PRIORY MEDICAL PRACTICE",NA
"393546","AMPTHILL PRACTICE",NA
"393547","ABBEY MEDICAL CENTER LONDON",NA
"393552","GOWER STREET PRACTICE",NA
"393797","JO POLLARD & ASSOCIATES",NA
"393813","YORKSHIRE AMBULANCE SERVICE CHARITY",NA
"393918","QUEENSWAY SURGERY",NA
"393935","IRLAM A C & PARTNER",NA
"394061","BALSALL COMMON & MERIDEN GROUP PRACTICE",NA
"394166","DR DR CHUNDURI",NA
"394243","DR SPEAK N J & PARTNERS",NA
"394300","RAVENSMERE REST HOME",NA
"394309","KUMAR N & PARTNERS",NA
"394312","CHISNELL P & PARTNERS",NA
"394416","BELLEGROVE ROAD SURGERY",NA
"394554","DR N KUMAR (CENTRAL SURGERY)",NA
"394566","DR V BHALLA CAIRNGALL",NA
"394580","RADCLIFFE MEDICAL PRACTICE",NA
"394581","INGELTON AVENUE",NA
"394582","TOTTINGTON MEDICAL PRACTICE",NA
"394593","LONDON BOROUGH OF BEXLEY",NA
"394596","M THAVAPALAN & PARTNERS",NA
"394642","BELVEDERE MEDICAL CENTRE",NA
"394644","ALBION SURGERY",NA
"394647","BULBANKS MEDICAL CENTRE",NA
"394656","SIDCUP MEDICAL CENTRE",NA
"394662","DR MCINTYRE & PARTNERS",NA
"394683","AGHA B & PARTNERS",NA
"394693","DR P J WOODCOCK & PARTNERS",NA
"394698","CRAYFORD TOWN SURGERY",NA
"394734","FORTIS HEALTHCARE LTD",NA
"394797","BURNHAM MEDICAL CENTRE",NA
"394812","CLICK PRIMARY CARE NETWORK",NA
"394821","CREWKERNE HEALTH CENTRE MIDDLE PATH CREWKERNE",NA
"394857","HARLEY HOUSE SURGERY IRNHAM ROAD MINEHEAD",NA
"394858","BAYLIS T M & PARTNERS",NA
"394864","ILCHESTER SURGERY",NA
"394874","LYNGFORD PARK SURGERY FLETCHER CLOSE TAUNTON",NA
"394908","PRACTICE NORTHUMBERLAND AVENUE",NA
"394909","DE SOUZA R F & PARTNERS",NA
"394911","DR S BAKEWELL & PARTNERS",NA
"394939","SOMERSET BRIDGE SURGERY",NA
"394959","SPRINGMEAD SURGERY SUMMERFIELDS ROAD CHARD",NA
"395101","STRETTON MEDICAL CENTRE",NA
"395191","DR K S UPTON & PTRS",NA
"395201","DR N PATEL & PARTNERS NEAR CREWE",NA
"395232","COOPER N I & PARTNERS",NA
"395259","NHS STAFFORDSHIRE AND  LANCASHIRE CSU",NA
"395311","CAREBASE (CHELMSFORD)",NA
"395454","PORTER DODSON",NA
"395520","THANET ROAD SURGERY",NA
"395578","DR SHARMA & PARTNERS ERITH",NA
"395664","DR D O YATES & PTRS",NA
"395718","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",NA
"395728","CHRISTINE FINCH",NA
"395752","EYECARE MEDICAL LTD",NA
"395782","OUTWOOD PARK MEDICAL CENTRE",NA
"395813","ROPER R M & PARTNERS",NA
"396043","ACORN D J & PARTNER",NA
"396047","RJ MITCHELL MEDICAL CENTRE",NA
"396051","DR J HOLLAND & PTRS",NA
"396099","WOODLANDS PRIMARY CARE",NA
"396100","DRS MAI BROWN & AF JOHNSON",NA
"396161","WILLIAMS D A & PARTNERS",NA
