"","CompanyNumber","SICCode.SicText_1"
"127077","11315224","87100 - Residential nursing care facilities"
"127082","11319014","86220 - Specialists medical practice activities"
"127099","11321939","86900 - Other human health activities"
"127101","11332085","86900 - Other human health activities"
"127105","11332981","86210 - General medical practice activities"
"127124","11335176","86900 - Other human health activities"
"127126","11341173","87900 - Other residential care activities n.e.c."
"127127","11346233","86210 - General medical practice activities"
"127128","11347624","74909 - Other professional, scientific and technical activities n.e.c."
"127168","11354432","70229 - Management consultancy activities other than financial management"
"127173","11359151","86210 - General medical practice activities"
"127182","11368924","82200 - Activities of call centres"
"127209","11390175","94120 - Activities of professional membership organizations"
"127210","11403363","88990 - Other social work activities without accommodation n.e.c."
"127213","11414097","86220 - Specialists medical practice activities"
"127215","11424248","99999 - Dormant Company"
"127216","11425863","64205 - Activities of financial services holding companies"
"127225","11427185","33120 - Repair of machinery"
"127274","11445594","86900 - Other human health activities"
"127277","11457100","73110 - Advertising agencies"
"127278","11480843","96090 - Other service activities n.e.c."
"127314","11503650","86900 - Other human health activities"
"127315","11523536","84120 - Regulation of health care, education, cultural and other social services, not incl. social security"
"127317","11526436","94120 - Activities of professional membership organizations"
"127318","11530988","63110 - Data processing, hosting and related activities"
"127323","11540999","86900 - Other human health activities"
"127333","11546488","70229 - Management consultancy activities other than financial management"
"127335","11554806","86900 - Other human health activities"
"127341","11568727","85590 - Other education n.e.c."
"127344","11569387","86900 - Other human health activities"
"127345","11572722","78200 - Temporary employment agency activities"
"127349","11581625","88910 - Child day-care activities"
"127388","11582111","62090 - Other information technology service activities"
"127399","11590575","86900 - Other human health activities"
"127416","11591150","86210 - General medical practice activities"
"127429","11591568","68100 - Buying and selling of own real estate"
"127430","11591710","86102 - Medical nursing home activities"
"127453","11595989","86900 - Other human health activities"
